role,session,predictor,duration_s,crse,cae,bucket
test,S-A5,constant_velocity_dr,10.0,19.949158493417126,-16.332078822581437,5-15
test,S-A5,constant_velocity_dr,10.0,36.48873802237677,-8.916661895356611,5-15
test,S-A5,constant_velocity_dr,10.0,3.864091774209337,-0.8431990763531694,5-15
test,S-A5,constant_velocity_dr,10.0,44.094851787265895,-24.90200706947097,5-15
test,S-A5,constant_velocity_dr,10.0,100.55465722401824,-94.62778270601093,15-25
test,S-A5,constant_velocity_dr,10.0,27.074607825533917,-18.33051001149764,15-25
test,S-A5,constant_velocity_dr,10.0,9.240172540391702,2.0293261133376355,15-25
test,S-A5,constant_velocity_dr,10.0,25.18882555132804,-25.443191762762055,>25
test,S-A5,constant_velocity_dr,10.0,41.317502197537785,17.656296626633573,15-25
test,S-A5,constant_velocity_dr,10.0,3.257200171727485,-4.463741540422614,>25
test,S-A5,constant_velocity_dr,10.0,6.688752126587619,-6.986052389302277,>25
test,S-A5,constant_velocity_dr,10.0,7.372219524800409,-0.9529958951446496,>25
test,S-A5,constant_velocity_dr,10.0,18.900346184720142,13.520871580412837,15-25
test,S-A5,constant_velocity_dr,10.0,13.190865013122362,-11.57066348959296,>25
test,S-A5,constant_velocity_dr,10.0,38.74269875374142,8.866093990692207,>25
test,S-A5,constant_velocity_dr,10.0,21.66506947335042,21.46519422759068,15-25
test,S-A5,constant_velocity_dr,10.0,17.565525667422435,17.313578799063723,15-25
test,S-A5,constant_velocity_dr,10.0,1.8927262964515275,0.9555067537755733,15-25
test,S-A5,constant_velocity_dr,10.0,2.8725623105996005,-0.4736900675804243,15-25
test,S-A5,constant_velocity_dr,10.0,5.858776668403659,4.730648180289776,15-25
test,S-A5,constant_velocity_dr,10.0,13.305468676281201,0.3278261989198299,15-25
test,S-A5,constant_velocity_dr,10.0,20.009391824539094,-5.211241800637129,15-25
test,S-A5,constant_velocity_dr,10.0,9.961958224370807,8.615019696796203,15-25
test,S-A5,constant_velocity_dr,10.0,17.381458904083054,-18.034247622478887,15-25
test,S-A5,constant_velocity_dr,10.0,25.408866682402895,-16.61873038093364,15-25
test,S-A5,constant_velocity_dr,10.0,8.681833223371266,-1.0729082737464033,15-25
test,S-A5,constant_velocity_dr,10.0,3.0629100211165428,1.726600335014762,15-25
test,S-A5,constant_velocity_dr,10.0,9.059053880451481,8.678350354336072,15-25
test,S-A5,constant_velocity_dr,10.0,18.620579186771177,18.106179988466966,15-25
test,S-A5,constant_velocity_dr,10.0,7.316597523240983,-4.629335332361162,15-25
test,S-A5,constant_velocity_dr,10.0,0.9676584371077326,-0.3631506550252066,15-25
test,S-A5,constant_velocity_dr,10.0,10.120889219841489,-9.973047949619708,15-25
test,S-A5,constant_velocity_dr,10.0,2.1498970969178335,-1.0041127611128324,15-25
test,S-A5,constant_velocity_dr,10.0,13.685285484313793,11.751586069562348,15-25
test,S-A5,constant_velocity_dr,10.0,5.038054215770482,4.2977742414986615,15-25
test,S-A5,constant_velocity_dr,10.0,7.921314465544268,-1.09389128915919,15-25
test,S-A5,constant_velocity_dr,10.0,9.875167788547904,-0.7297640570340462,15-25
test,S-A5,constant_velocity_dr,10.0,9.124901402856612,7.503549213744929,15-25
test,S-A5,constant_velocity_dr,10.0,8.63761114963986,4.068944292676488,15-25
test,S-A5,constant_velocity_dr,10.0,6.678458729468651,-7.114759482504754,15-25
test,S-A5,constant_velocity_dr,10.0,3.6455817628400586,-0.7936223298445526,15-25
test,S-A5,constant_velocity_dr,10.0,15.777708712700305,-15.422108541389193,15-25
test,S-A5,constant_velocity_dr,10.0,11.040475713304362,2.5702497472992896,15-25
test,S-A5,constant_velocity_dr,10.0,24.477359376148115,-24.471405105163075,15-25
