role,predictor,n_windows,n_dropped_no_predecessor,pooled_mae_m,bucket_mean_mae_m,mae_0-5,n_0-5,mae_5-15,n_5-15,mae_15-25,n_15-25,mae_>25,n_>25
validate,mean,38117,0,12.806955518825443,10.262038123684249,12.831658072516317,2117,2.9983747731064843,3895,7.325245511023081,11841,17.892874138091113,20264
validate,previous,38109,8,0.1479697347444463,0.1823727143346154,0.11398420145077344,2111,0.3452965705651012,3895,0.1688043605757009,11840,0.10140572474688613,20263
test,mean,27937,0,9.200101289368648,9.050074713418486,11.960783325039769,2725,3.755897720032898,3962,7.77106644162492,12262,12.712551366976355,8988
test,previous,27933,4,1.2185519634464383,1.0366662347523485,0.3550552438702235,2722,1.050031460253862,3961,1.3044813170189113,12262,1.437096917866397,8988
