run,params,window,val_bucket_mae,test_bucket_mae,val_drift60,test_drift60,test_drift60_oracle,val_gt25_cae,val_gt25_frac_neg
resnet_unweighted,3848196,100,8.452481786806981,8.387765106810825,875.1376478894582,648.5679993465511,294.8496351410626,-953.654698765335,1.0
resnet_w_base,3848196,100,7.766772419147053,8.97597231370307,800.4835462492155,660.9220858222504,303.8563590871009,-809.4594167817523,0.9970760233918129
resnet_w_narrow,965636,100,8.725231608100305,7.27205760284478,882.6726397186659,612.4614768521657,249.45778470461653,-959.9148954779056,1.0
resnet_w_short_3s,3848196,30,8.488620058832382,8.459868448869171,823.4059898675788,613.9078504199795,249.65019395528947,-852.8006491530953,0.9970760233918129
tcn_physics_3s,78982,30,8.713294282209212,7.171185103747305,852.2360074544868,579.4346581384827,214.12655122161223,-915.1421517660584,1.0
tcn_no_accz,78982,30,12.304269305070907,12.635648289361605,1144.0230652933476,1084.1305867138115,1041.0145116032147,-1340.3488435956062,1.0
tcn_despike,78982,30,8.998480161395106,7.762665046749453,844.8703225973316,582.4061585501258,219.2640885683236,-896.8667443394328,1.0
tcn_nhc,78982,30,7.6684542748719435,7.093840766892466,826.667853853917,545.830450975642,214.36807420154477,-897.9484951484027,1.0
