role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,27.948303062958413,27.948303062958413,2.6842934134754453,94.23207882258143
test,S-A5,ins_dr,10.0,36.46198804133565,36.46198804133565,2.075264869394238,94.81666189535662
test,S-A5,ins_dr,10.0,12.765239136979803,12.765239136979803,1.3794165051637224,87.74319907635316
test,S-A5,ins_dr,10.0,48.83627206895727,48.83627206895727,5.539926595546296,108.80200706947097
test,S-A5,ins_dr,10.0,112.31284056000716,112.31284056000716,10.838848623420558,223.72778270601094
test,S-A5,ins_dr,10.0,42.852754059562024,42.852754059562024,5.280364694290024,228.53051001149763
test,S-A5,ins_dr,10.0,13.347012946363622,13.347012946363622,4.014488901699954,229.8706738866624
test,S-A5,ins_dr,10.0,47.64325448480809,47.64325448480809,5.810268268621806,267.2431917627621
test,S-A5,ins_dr,10.0,32.52378689302717,32.52378689302717,2.3498749907611893,249.0437033733664
test,S-A5,ins_dr,10.0,31.24088261662962,31.24088261662962,4.547305962478299,264.76374154042264
test,S-A5,ins_dr,10.0,31.374580496150944,31.374580496150944,3.1646248506548464,261.28605238930226
test,S-A5,ins_dr,10.0,25.697093275755297,25.697093275755297,2.6074244364512893,262.35299589514466
test,S-A5,ins_dr,10.0,15.080821483507938,15.080821483507938,1.959899181175605,249.77912841958715
test,S-A5,ins_dr,10.0,37.69735994863379,37.69735994863379,3.8638969618914087,270.470663489593
test,S-A5,ins_dr,10.0,37.34267648757553,37.34267648757553,2.8190195357634256,256.2339060093078
test,S-A5,ins_dr,10.0,6.205031994923584,6.205031994923584,0.9336770832763367,234.33480577240928
test,S-A5,ins_dr,10.0,8.193817680220445,8.193817680220445,1.3176464000111043,205.98642120093626
test,S-A5,ins_dr,10.0,19.53871276174709,19.53871276174709,2.1735074670161882,212.94449324622445
test,S-A5,ins_dr,10.0,22.503029030659253,22.503029030659253,2.247811690494893,216.47369006758043
test,S-A5,ins_dr,10.0,16.314499335040765,16.314499335040765,1.7454194591793126,210.8693518197102
test,S-A5,ins_dr,10.0,24.462081889510117,24.462081889510117,2.037664576100652,213.47217380108015
test,S-A5,ins_dr,10.0,35.00280781616073,35.00280781616073,2.6513767470109513,219.31124180063716
test,S-A5,ins_dr,10.0,15.107624311036474,15.107624311036474,2.7620972683620666,196.4849803032038
test,S-A5,ins_dr,10.0,33.987562730189865,33.987562730189865,4.3704801852315445,219.3342476224789
test,S-A5,ins_dr,10.0,38.82002043019575,38.82002043019575,4.430479707813712,225.31873038093363
test,S-A5,ins_dr,10.0,23.10840394123604,23.10840394123604,2.079290891189356,213.37290827374642
test,S-A5,ins_dr,10.0,19.407776048121196,19.407776048121196,1.9182690260259456,214.47339966498524
test,S-A5,ins_dr,10.0,10.441278285623845,10.441278285623845,1.7724564813007184,200.52164964566396
test,S-A5,ins_dr,10.0,3.9673530568730637,3.9673530568730637,1.2192819164589852,183.89382001153302
test,S-A5,ins_dr,10.0,22.553105883250453,22.553105883250453,2.992914284888411,192.2293353323612
test,S-A5,ins_dr,10.0,16.361551135348,16.361551135348,2.5842926535856945,181.7631506550252
test,S-A5,ins_dr,10.0,26.791577229817165,26.791577229817165,2.7255490329937224,189.37304794961975
test,S-A5,ins_dr,10.0,18.990994557330048,18.990994557330048,2.0308007236219767,190.60411276111282
test,S-A5,ins_dr,10.0,10.120115892605344,10.120115892605344,2.2601279597013475,183.94841393043765
test,S-A5,ins_dr,10.0,15.834857145564946,15.834857145564946,1.9855302110688804,192.20222575850133
test,S-A5,ins_dr,10.0,20.331831366274404,20.331831366274404,2.449175526234077,202.19389128915918
test,S-A5,ins_dr,10.0,22.80327403237666,22.80327403237666,2.843282355993137,206.12976405703404
test,S-A5,ins_dr,10.0,11.799847431759066,11.799847431759066,2.6040398537397516,194.09645078625508
test,S-A5,ins_dr,10.0,16.116637349683693,16.116637349683693,4.135249050502854,194.5310557073235
test,S-A5,ins_dr,10.0,25.39959013972565,25.39959013972565,3.52804688957619,199.71475948250477
test,S-A5,ins_dr,10.0,18.041088229147032,18.041088229147032,2.162895722661955,190.19362232984457
test,S-A5,ins_dr,10.0,36.39334949595954,36.39334949595954,7.411640001162576,202.7221085413892
test,S-A5,ins_dr,10.0,20.22944507422826,20.22944507422826,4.7898813348964895,208.1297502527007
test,S-A5,ins_dr,10.0,46.34452839173457,46.34452839173457,6.279422093458043,228.3714051051631
test,S-A5,ins_dr,10.0,26.551011148684754,26.551011148684754,3.402767574570659,231.45512414422151
test,S-A5,ins_dr,10.0,24.10970642040985,24.10970642040985,2.3171673281204757,229.25634878539188
test,S-A5,ins_dr,10.0,21.53080120072514,21.53080120072514,2.303271766532324,223.68615016715935
test,S-A5,ins_dr,10.0,31.519593074557232,31.519593074557232,3.117824481046214,237.0435539895293
test,S-A5,ins_dr,10.0,20.492251292146815,20.492251292146815,2.5118004022682294,232.87379375257
test,S-A5,ins_dr,10.0,36.17363077563564,36.17363077563564,3.6042766498217538,247.8993228449099
test,S-A5,ins_dr,10.0,21.891959658121404,21.891959658121404,2.3309733857645485,240.39823965446163
test,S-A5,ins_dr,10.0,34.71724606025892,34.71724606025892,3.446118358250632,242.71617174991138
test,S-A5,ins_dr,10.0,11.580310879522866,11.580310879522866,2.2570370646485496,235.77639448809384
test,S-A5,ins_dr,10.0,23.92128756080295,23.92128756080295,3.26623765205485,231.21426834817737
test,S-A5,ins_dr,10.0,46.83253251276053,46.83253251276053,6.29298760359551,256.3807370904528
test,S-A5,ins_dr,10.0,12.435334722135984,12.435334722135984,2.5356958420157336,238.802872921484
test,S-A5,ins_dr,10.0,30.89055004573994,30.89055004573994,3.101138589670244,252.86900075905095
test,S-A5,ins_dr,10.0,22.266153898100182,22.266153898100182,2.2327996969319748,241.36679188280633
test,S-A5,ins_dr,10.0,28.573818139620627,28.573818139620627,3.3868711389351795,237.6305218825365
test,S-A5,ins_dr,10.0,44.719507732534076,44.719507732534076,4.482314121908555,264.565247651704
test,S-A5,ins_dr,10.0,33.30990454030381,33.30990454030381,3.319416685383861,260.767431341587
test,S-A5,ins_dr,10.0,19.595532707381032,19.595532707381032,3.5034522841982847,249.54661326353755
test,S-A5,ins_dr,10.0,26.23269020705135,26.23269020705135,2.720436248189743,246.89612374841036
test,S-A5,ins_dr,10.0,45.157227891263,45.157227891263,5.3785445681228365,265.1903931200157
test,S-A5,ins_dr,10.0,26.650679970373105,26.650679970373105,2.8954260061279045,253.7471540958134
test,S-A5,ins_dr,10.0,30.805186693155246,30.805186693155246,2.1547703292628,257.1260053158191
test,S-A5,ins_dr,10.0,32.605982298273574,32.605982298273574,3.2951024982145825,241.17169624127567
test,S-A5,ins_dr,10.0,55.97721643762665,55.97721643762665,5.989882649779069,267.4525970458768
test,S-A5,ins_dr,10.0,38.30312432835355,38.30312432835355,3.8381945458166498,244.45347217620377
test,S-A5,ins_dr,10.0,57.3467244784953,57.3467244784953,8.37933118524685,245.17035474053043
test,S-A5,ins_dr,10.0,136.6376275903214,136.6376275903214,14.754733744034843,330.58565634103564
test,S-A5,ins_dr,10.0,5.404292819119641,5.404292819119641,3.5932311323794983,224.1279071712745
test,S-A5,ins_dr,10.0,37.071374687035956,37.071374687035956,4.126058421139933,238.45185461342885
test,S-A5,ins_dr,10.0,44.383741823200275,44.383741823200275,4.118380971558343,250.63310799206437
test,S-A5,ins_dr,10.0,42.1775634010134,42.1775634010134,4.233801876323234,266.0520422885941
test,S-A5,ins_dr,10.0,21.184922330625152,21.184922330625152,1.9091573333788425,254.87498397368654
test,S-A5,ins_dr,10.0,32.040664162503724,32.040664162503724,5.147712960081203,261.85318799343526
