cae,aeps,crse_scalar,n_seconds,crse,session,t0,duration,predictor,final_position_error_m,max_position_error_m,true_distance_m,start_speed_ms,scenario
-28.76179525745588,2.876179525745588,28.76179525745588,10,28.819459373823776,V-Vw12,58636.2,10.0,ins_dr,28.819459373823776,28.819459373823776,250.29842052313117,23.947222222222223,motorway
-30.73053852392939,3.073053852392939,30.73053852392939,10,30.772560060400867,V-Vw12,58646.2,10.0,ins_dr,30.772560060400867,30.772560060400867,260.13124427164587,25.84166666666667,motorway
-30.999605255460608,3.0999605255460607,30.999605255460608,10,34.629177146957915,V-Vw12,58656.2,10.0,ins_dr,34.629177146957915,34.629177146957915,265.3248694996758,25.786108333333335,motorway
-24.4069675166428,2.44069675166428,24.4069675166428,10,30.358660943321333,V-Vw12,58666.2,10.0,ins_dr,30.358660943321333,30.358660943321333,266.4974862302732,26.930555555555557,motorway
-18.46847265753204,1.846847265753204,18.46847265753204,10,24.293003221426257,V-Vw12,58676.2,10.0,ins_dr,24.293003221426257,24.293003221426257,244.94684262634792,25.813888888888894,motorway
-24.617794799325658,2.4617794799325656,24.617794799325658,10,28.320974675062974,V-Vw12,58686.2,10.0,ins_dr,28.320974675062974,28.320974675062974,236.86239823845844,23.636111111111113,motorway
-25.180349324904654,2.5180349324904654,25.180349324904654,10,29.73202153979281,V-Vw12,58696.2,10.0,ins_dr,29.73202153979281,29.73202153979281,235.09507262609506,23.23888888888889,motorway
-26.217383457474604,2.6217383457474606,26.217383457474604,10,29.005762804895692,V-Vw12,58706.2,10.0,ins_dr,29.005762804895692,29.005762804895692,243.15658793735247,24.45277777777778,motorway
-26.59596297894472,2.659596297894472,26.59596297894472,10,29.815363959891886,V-Vw12,58716.2,10.0,ins_dr,29.815363959891886,29.815363959891886,257.21932448307894,25.969444444444445,motorway
-30.904990511279646,3.0904990511279644,30.904990511279646,10,74.58212302288915,V-vta11,43471.9,10.0,ins_dr,74.58212302288915,74.58212302288915,247.94969170435579,26.819444444444446,roundabout
-15.371350529804445,1.5371350529804446,15.371350529804445,10,60.56233443804419,V-vta11,43481.9,10.0,ins_dr,60.56233443804419,63.75100225785837,93.25323491361002,15.491666666666669,roundabout
-16.766944334820426,1.6766944334820426,16.766944334820426,10,146.02726255931722,V-vta11,43491.9,10.0,ins_dr,146.02726255931722,146.02726255931722,95.98340472004395,8.752777777777778,roundabout
-2.0473029002905783,1.0140831638151866,10.140831638151866,10,48.20051353877335,V-vta11,43501.9,10.0,ins_dr,48.20051353877335,48.20051353877335,133.1657686965621,14.041666666666666,roundabout
