role,predictor,n_windows,pooled_mae_m,bucket_mean_mae_m,mae_0-5,mae_5-15,mae_15-25,mae_>25
validate,mean,38117,12.806955518825443,10.262038123684249,12.831658072516317,2.9983747731064843,7.325245511023081,17.892874138091113
validate,ridge_probe,38117,14.350951224153066,11.188727106165663,9.719557978586561,6.86162554058725,8.452984612969082,19.720740292519757
validate,xgb_probe,38117,15.477024978475548,10.470049263497453,4.791842431158239,4.825063772752421,11.015495488909448,21.247795361169704
test,mean,27937,9.200101289368648,9.050074713418486,11.960783325039769,3.755897720032898,7.77106644162492,12.712551366976355
test,ridge_probe,27937,8.11123808343274,8.010380198768708,9.26410738851462,5.008876414095847,6.661633128356968,11.106903864107396
test,xgb_probe,27937,5.576960438260639,5.943982935619143,6.3452060914510096,6.2802293180122115,4.095885023028437,7.054611309984914
