role,bucket,n_windows,frac,label_mean_m,label_std_m
train,0-5,13639,0.16385545063552703,1.6152611212350292,1.706265943868714
train,5-15,35616,0.42788149643191814,10.198638964134158,2.6587218777547954
train,15-25,22742,0.27321655974434755,19.853491817709216,2.9529586665096685
train,>25,11241,0.1350464931882073,28.08565809873413,2.1258383278005377
validate,0-5,2117,0.05553952304745914,1.0139925364043734,1.4531516751821747
validate,5-15,3895,0.10218537660361518,11.026799069898109,2.596599438503088
validate,15-25,11841,0.3106487918776399,21.170896119943773,2.5176156710234125
validate,>25,20264,0.5316263084712858,31.738524747011798,3.4033423964588487
test,0-5,2725,0.09754089558649819,1.8848672838809202,1.6356771096686176
test,5-15,3962,0.1418190929591581,10.237503383092054,2.8968200540539857
test,15-25,12262,0.43891613272720764,21.616717050545606,2.580934234974694
test,>25,8988,0.32172387872713604,26.558201975897045,1.444033641100536
